headline,date,doc_type,material_type,section,keywords,word_count
Why a Pilot Is Under Investigation for Saying ‘Let’s Go Brandon’,2021-11-01,article,News,U.S.,"['AIRLINES AND AIRPLANES', 'Pilots', 'United States Politics and Government', 'Social Media']",477
"‘Succession’ Season 3, Episode 3: Head Spaces and Hullabaloo",2021-11-01,article,News,Arts,['Television'],1502
Your Monday Briefing,2021-11-01,article,briefing,Briefing,[],1270
What Is a ‘Carbon Footprint’? And 12 Other Climate Buzzwords,2021-11-01,multimedia,Interactive Feature,Climate,"['Global Warming', 'Environment', 'Sustainable Living']",0
"‘Insecure’ Recap, Season 5, Episode 2: Pick Up Your Feelings",2021-11-01,article,News,Arts,['Television'],1009
Word of the Day: conflagration,2021-11-01,article,News,The Learning Network,[],356
New Black N.B.A. Coaches Wonder Why It Took So Long to Get a Shot,2021-11-01,article,News,Sports,"['Coaches and Managers', 'Basketball', 'Black People', 'Blacks', 'Hiring and Promotion', 'Discrimination']",1958
"Once a Leading Polluter, the U.K. Is Now Trying to Lead on Climate Change",2021-11-01,article,News,World,"['Politics and Government', 'United Nations Framework Convention on Climate Change', 'Greenhouse Gas Emissions', 'Global Warming', 'Coal', 'Wind Power', 'Alternative and Renewable Energy']",1569
How Much Are Countries Pledging to Reduce Emissions?,2021-11-01,multimedia,Interactive Feature,Climate,"['United Nations Framework Convention on Climate Change', 'Greenhouse Gas Emissions', 'Global Warming']",0
"Facing Elimination, the Houston Astros Find Their Bats",2021-11-01,article,News,Sports,"['Baseball', 'World Series']",1126
"No Corrections: Nov. 1, 2021",2021-11-01,article,News,Corrections,[],52
What’s on TV This Week: ‘The Oratorio’ and ‘Dexter: New Blood’,2021-11-01,article,News,Arts,"['Television', 'Movies']",1078
Would Russia or China Help Us if We Were Invaded by Space Aliens?,2021-11-01,article,Op-Ed,Opinion,"['United States International Relations', 'Greenhouse Gas Emissions', 'Carbon Dioxide', 'United Nations Framework Convention on Climate Change']",1216
New Zealand Held a Bird Contest. A Bat Won.,2021-11-01,article,News,World,"['Birds', 'Bats', 'Contests and Prizes']",659
Some Australians are allowed to return home as border rules ease.,2021-11-01,article,News,World,"['Coronavirus (2019-nCoV)', 'Quarantine (Life and Culture)']",614
Spelling Bee Forum,2021-11-01,article,News,Crosswords & Games,[],196
"To Protest Iran’s Anti-Gay Abuses, an Artist Painted a Dictator’s Car",2021-11-01,article,News,Business Day,"['Automobiles', 'Homosexuality and Bisexuality', 'Human Rights and Human Rights Violations', 'Art', 'Discrimination']",1078
Banks Tried to Kill Crypto and Failed. Now They’re Embracing It (Slowly).,2021-11-01,article,News,Business Day,"['Banking and Financial Institutions', 'Virtual Currency', 'Bitcoin (Currency)', 'US Dollar (Currency)', 'Currency', 'Blockchain (Technology)', 'Regulation and Deregulation of Industry']",1619
What Does It Mean to Be a New York Democrat These Days?,2021-11-01,article,News,New York,"['Politics and Government', 'Elections, Mayors', 'Elections, Governors', 'Elections, City Councils']",1706
BIPOC or POC? Equity or Equality? The Debate Over Language on the Left.,2021-11-01,article,News,U.S.,"['English Language', 'Discrimination', 'Race and Ethnicity', 'Gender', 'Black People', 'Blacks', 'Transgender and Transsexuals', 'Hispanic-Americans', 'Homosexuality and Bisexuality']",2338
"Quotation of the Day: On the Left, a New Scramble Over the Right Words to Say",2021-11-01,article,News,Today’s Paper,[],49
Run the Numbers: Exploring the Math Behind Any N.F.L. Team’s Playoff Chances,2021-11-01,article,News,The Learning Network,[],2015
Climate conference kicks off in Glasgow with floods and low expectations.,2021-11-01,article,News,World,[],525
Michael Bloomberg announces an effort to shut down coal in 25 countries.,2021-11-01,article,News,World,[],446
"James Staley, Barclays’s C.E.O., steps down after a Jeffrey Epstein inquiry.",2021-11-01,article,News,Business Day,"['Appointments and Executive Changes', 'Banking and Financial Institutions', 'Ethics and Official Misconduct', 'Child Abuse and Neglect', 'Prostitution', 'Sex Crimes', 'Human Trafficking']",1386
What to watch for on Monday at COP26.,2021-11-01,article,News,World,"['United Nations Framework Convention on Climate Change', 'Global Warming']",312
One Final Day of Campaigning,2021-11-01,article,briefing,New York,"['Politics and Government', 'Elections, Mayors', 'Police Brutality, Misconduct and Shootings']",1429
"Biden’s Glasgow pitch: This time, the U.S. is serious about climate change.",2021-11-01,article,News,World,[],256
Kenneth Branagh Is Finally Processing His Childhood Trauma,2021-11-01,multimedia,Interactive Feature,Magazine,"['Content Type: Personal Profile', 'Movies', 'Actors and Actresses']",0
What Is a Meaningful Family Relationship That You Have?,2021-11-01,article,News,The Learning Network,[],444
"Sex Bots, Religion and the Wild World of A.I.",2021-11-01,article,Op-Ed,Opinion,"['Artificial Intelligence', 'Computers and the Internet', 'audio-neutral-informative']",263
"I Just Turned 60, but I Still Feel 22",2021-11-01,article,News,Opinion,"['Content Type: Personal Profile', 'Age, Chronological', 'Coronavirus (2019-nCoV)']",1138
What We’re Watching on Election Day and Movie Night,2021-11-01,article,Op-Ed,Opinion,"['United States Politics and Government', 'Tax Shelters', 'Corporate Taxes', 'Crime and Criminals', 'Education (K-12)', 'Police Brutality, Misconduct and Shootings', 'Movies', 'Alternative and Renewable Energy']",1584
"Laugh at the ‘S.N.L.’ School Board Skit, Take Your Local Politics Seriously",2021-11-01,article,Op-Ed,Opinion,"['Local Government', 'United States Politics and Government', 'Education (K-12)', 'School Boards']",1192
Shopping for Alarm Clocks,2021-11-01,article,News,Real Estate,"['Real Estate and Housing (Residential)', 'Interior Design and Furnishings', 'Furniture', 'Design', 'Watches and Clocks']",367
"If the New Supreme Court Stymies Gun Safety Laws, What Comes Next?",2021-11-01,article,Op-Ed,Opinion,"['Gun Control', 'Mass Shootings', 'Law and Legislation', 'Second Amendment (US Constitution)', 'Constitution (US)']",1118
Can Supersonic Air Travel Fly Again?,2021-11-01,article,News,Business Day,"['AIRLINES AND AIRPLANES', 'Travel and Vacations']",1380
Supreme Court Hints That It May Allow Challenge to Texas Abortion Law,2021-11-01,article,News,U.S.,"['Abortion', 'Law and Legislation', 'Suits and Litigation (Civil)', 'United States Politics and Government', 'Federal-State Relations (US)']",1529
The Accidental Wine Educator,2021-11-01,article,News,Food,"['Wines', 'Content Type: Personal Profile', 'World Trade Center (Manhattan, NY)']",1748
Supreme Court Tries to Tame Unruly Oral Arguments,2021-11-01,article,News,U.S.,"['Workplace Environment', 'Discrimination', 'Women and Girls']",907
The TV Hit That Wasn’t,2021-11-01,article,News,Business Day,"['Television', 'Cable Television', 'Video Recordings, Downloads and Streaming', 'Ratings (Audience Measurement)']",1141
"After the Flood, It’s Not Just ‘About the Coming Back’",2021-11-01,article,News,Business Day,"['Hurricane Ida (2021)', 'Floods', 'Small Business', 'Shopping and Retail']",1573
"Desperate for Housing Options, Communities Turn to Ballot Initiatives",2021-11-01,article,News,U.S.,"['Real Estate and Housing (Residential)', 'Renting and Leasing (Real Estate)', 'Affordable Housing', 'Shortages', 'Referendums']",1410
N.Y. Cabbies Stage Hunger Strike for More Aid: ‘We’re Not Backing Down’,2021-11-01,article,News,New York,"['Taxicabs and Taxicab Drivers', 'Credit and Debt', 'Hunger Strikes', 'Politics and Government']",1133
The Stunning Grandeur of Soviet-Era Metros,2021-11-01,article,News,Travel,"['Subways', 'Photography', 'Transit Systems', 'Travel and Vacations', 'Stations and Terminals (Passenger)']",777
A Timeline of the Kyle Rittenhouse Shootings and His Trial,2021-11-01,article,News,U.S.,"['George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Murders, Attempted Murders and Homicides', 'Police Brutality, Misconduct and Shootings']",942
Greta Thunberg joins a protest in Glasgow.,2021-11-01,article,News,World,"['United Nations Framework Convention on Climate Change', 'Global Warming']",361
Roe Is as Good as Gone. It’s Time for a New Strategy.,2021-11-01,article,Op-Ed,Opinion,"['Abortion', 'Roe v Wade (Supreme Court Decision)', 'Law and Legislation', 'United States Politics and Government', ""Women's Rights""]",1359
How Much Do You Know About the Solomon Islands?,2021-11-01,multimedia,Interactive Feature,The Learning Network,[],0
"Who’s attending (Biden and Modi), and who isn’t (Putin and Xi).",2021-11-01,article,News,World,"['Greenhouse Gas Emissions', 'United Nations Framework Convention on Climate Change']",557
Why Do So Many Traffic Stops Go Wrong?,2021-11-01,article,News,Podcasts,"['audio-negative-sad', 'audio-neutral-informative', 'Police Brutality, Misconduct and Shootings', 'Black People', 'Blacks', 'Police']",327
"A World Series of Relievers, Like It or Not",2021-11-01,article,News,Sports,"['Baseball', 'World Series']",1153
John Kerry is already looking toward next year to push countries to do more.,2021-11-01,article,News,World,"['United Nations Framework Convention on Climate Change', 'Global Warming']",440
How to Prevent Climate Disasters,2021-11-01,article,briefing,Briefing,[],1577
China’s push to burn more coal puts climate goals at risk.,2021-11-01,article,News,World,[],352
"N.Y.C.’s vaccination rate for city workers climbs to 91 percent, and 9,000 are put on unpaid leave.",2021-11-01,article,News,New York,"['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Fires and Firefighters']",655
Why Jeffrey Epstein Cost Barclays’s C.E.O. His Job,2021-11-01,article,News,Business Day,"['Banking and Financial Institutions', 'Appointments and Executive Changes', 'Virtual Currency']",1777
Stream These 11 Titles Before They Leave Netflix in November,2021-11-01,article,News,Arts,"['Movies', 'Television']",1289
Thailand reopens to tourists from 63 countries without requiring quarantine.,2021-11-01,article,News,World,"['Travel and Vacations', 'Coronavirus (2019-nCoV)', 'Quarantines']",411
Are Global Warming Summits Still Cool?,2021-11-01,article,briefing,U.S.,"['United Nations Framework Convention on Climate Change', 'Greenhouse Gas Emissions', 'Global Warming']",1640
7 Takeaways From Huma Abedin’s Memoir,2021-11-01,article,News,Books,"['Books and Literature', 'Content Type: Personal Profile', 'United States Politics and Government', 'Ethics and Official Misconduct', 'ADULTERY']",1350
Huma Abedin Has Been to Hell and Back. Now She’s Gingerly Telling the Tale.,2021-11-01,article,News,Books,"['audio-neutral-informative', 'Books and Literature', 'Content Type: Personal Profile', 'United States Politics and Government']",1357
What You Get for $4.5 Million in California,2021-11-01,multimedia,Slideshow,Real Estate,['Real Estate and Housing (Residential)'],0
$4.5 Million Homes in California,2021-11-01,article,News,Real Estate,['Real Estate and Housing (Residential)'],1466
Choose Me! Rose-worthy Romance Novels,2021-11-01,article,News,Books,['Books and Literature'],758
The ‘Philly Special’ Comes to New York,2021-11-01,multimedia,Interactive Feature,Sports,['Football'],0
The U.N. leader warns that the world faces a ‘climate catastrophe.’,2021-11-01,article,News,World,"['United Nations Framework Convention on Climate Change', 'Greenhouse Gas Emissions', 'Global Warming', 'International Relations']",334
Handball Federation Ends Bikini Bottom Requirement for Women,2021-11-01,article,News,Sports,"['Women and Girls', 'Uniforms', 'Team Handball', 'Fines (Penalties)', 'Discrimination']",342
Here’s what the Texas law prohibits.,2021-11-01,article,News,U.S.,"['Abortion', 'Content Type: Service']",182
David Attenborough urges summit participants to help ‘rewrite our story.’,2021-11-01,article,News,World,"['Global Warming', 'United Nations Framework Convention on Climate Change']",239
Europe Fears That Rising Cost of Climate Action Is Stirring Anger,2021-11-01,article,News,Business Day,"['Economic Conditions and Trends', 'Income Inequality', 'Global Warming', 'Greenhouse Gas Emissions', 'Alternative and Renewable Energy', 'Prices (Fares, Fees and Rates)', 'Yellow Vests Movement', 'Politics and Government', 'Demonstrations, Protests and Riots']",1262
Why is it so hard to challenge the Texas law?,2021-11-01,article,News,U.S.,[],258
A 6-Hour Opera in a Pandemic? The Met Goes for It.,2021-11-01,article,News,Arts,"['Opera', 'Coronavirus (2019-nCoV)', 'Quarantine (Life and Culture)']",1064
The official global virus death toll has passed five million. The full count is undoubtedly higher.,2021-11-01,article,News,World,"['Coronavirus (2019-nCoV)', 'Deaths (Fatalities)', 'Vaccination and Immunization']",751
"Marc Hearron, attorney for abortion providers, has deep Texas ties.",2021-11-01,article,News,U.S.,"['Law and Legislation', 'Abortion']",301
"After Violent Standoff, Pakistan Strikes Deal With Banned Islamist Group",2021-11-01,article,News,World,"['Demonstrations, Protests and Riots', 'Politics and Government', 'Muslims and Islam', 'Terrorism']",906
"Judd Stone II, the Texas solicitor general, makes his Supreme Court debut.",2021-11-01,article,News,U.S.,[],246
"Muriel Lezak, Leading Authority on Brain Injuries, Dies at 94",2021-11-01,article,Obituary (Obit),Science,"['Deaths (Obituaries)', 'Traumatic Brain Injury', 'Psychology and Psychologists', 'Brain', 'Sports Injuries', 'Research']",1100
A Special Steak Dinner,2021-11-01,article,Letter,Food,"['Cooking and Cookbooks', 'Content Type: Service']",559
Audra McDonald to Star in ‘Ohio State Murders’ on Broadway,2021-11-01,article,News,Theater,"['Theater', 'Actors and Actresses']",298
How the Pandemic Has Added to Labor Unrest,2021-11-01,article,News,Business Day,"['Strikes', 'Labor and Jobs', 'Organized Labor', 'Coronavirus (2019-nCoV)', 'Factories and Manufacturing', 'United States Economy', 'Wages and Salaries']",1657
